Strategy,Model,rho_final_mean,rho_final_std
Random,SIR,0.6283,0.0121
Random,SIS,0.424,0.0011
Random,BP,0.736,0.0006
Random,WTM,1.0,0.0
Random,H1,0.7885,0.0052
Random,H2,0.7405,0.0007
Random,H3,0.9602,0.0041
Random,H4,0.8562,0.0009
Random,H5,0.8423,0.0004
Random,H6,0.6383,0.0058
High Degree,SIR,0.6085,0.015
High Degree,SIS,0.4344,0.0009
High Degree,BP,0.7208,0.0
High Degree,WTM,1.0,0.0
High Degree,H1,0.7772,0.0066
High Degree,H2,0.7276,0.0004
High Degree,H3,0.9574,0.0058
High Degree,H4,0.8743,0.0002
High Degree,H5,0.8602,0.0003
High Degree,H6,0.699,0.0024
High K-Core,SIR,0.6096,0.0133
High K-Core,SIS,0.4325,0.0009
High K-Core,BP,0.7208,0.0
High K-Core,WTM,1.0,0.0
High K-Core,H1,0.779,0.006
High K-Core,H2,0.7268,0.0004
High K-Core,H3,0.9584,0.0049
High K-Core,H4,0.873,0.0002
High K-Core,H5,0.8593,0.0004
High K-Core,H6,0.6937,0.0022
