          Model  t_obs    MAE     R2 Accuracy    F1
   HGB_baseline     10      -      -        -     -
            CNN     10 0.0695 0.8861    0.674 0.669
           LSTM     10 0.0732 0.8780    0.626 0.618
    Transformer     10 0.0728 0.8801    0.635 0.629
       Ensemble     10 0.0712 0.8827    0.665 0.658

            CNN     20 0.0444 0.9375    0.729 0.721
           LSTM     20 0.0446 0.9376    0.715 0.709
    Transformer     20 0.0443 0.9362    0.693 0.687
       Ensemble     20 0.0435 0.9379    0.728 0.722

            CNN     30 0.0336 0.9625    0.748 0.741
           LSTM     30 0.0338 0.9624    0.723 0.717
    Transformer     30 0.0327 0.9628    0.726 0.721
       Ensemble     30 0.0325 0.9633    0.743 0.737
  TwoStage_hard     30 0.0307 0.9467    0.748 0.741
TwoStage_oracle     30 0.0198 0.9797        -     -

            CNN     50 0.0255 0.9776    0.755 0.752
           LSTM     50 0.0254 0.9780    0.726 0.722
    Transformer     50 0.0251 0.9777    0.738 0.734
       Ensemble     50 0.0246 0.9783    0.748 0.744

            CNN     75 0.0212 0.9841    0.765 0.766
           LSTM     75 0.0220 0.9843    0.732 0.720
    Transformer     75 0.0207 0.9857    0.752 0.750
       Ensemble     75 0.0204 0.9853    0.761 0.760
