season,k,rho_true,rho_sir,sir_failed,rho_hgb,rho_cnn,rho_lstm,rho_transformer
1997-98,10,0.5788,0.5073,False,0.3928,0.4992,0.5940,0.4093
1997-98,15,0.5788,0.6822,False,0.5989,0.5886,0.5940,0.5945
1997-98,20,0.5788,0.7178,False,0.6525,0.5427,0.5940,0.5652
1997-98,25,0.5788,0.3628,False,0.5873,0.5563,0.5940,0.5657
1997-98,30,0.5788,0.3458,False,0.6213,0.5413,0.5940,0.5659
1998-99,10,0.5985,0.1431,False,0.4769,0.5538,0.5931,0.3631
1998-99,15,0.5985,0.6858,False,0.4445,0.5528,0.5931,0.4809
1998-99,20,0.5985,0.7554,False,0.6476,0.6770,0.5931,0.5944
1998-99,25,0.5985,0.4239,False,0.6693,0.6083,0.5931,0.5965
1998-99,30,0.5985,0.3482,False,0.6634,0.6294,0.5931,0.5967
1999-00,10,0.6656,0.6883,False,0.6383,0.6475,0.5904,0.5116
1999-00,15,0.6656,0.7872,False,0.7133,0.7150,0.5904,0.6382
1999-00,20,0.6656,0.3647,False,0.7071,0.7014,0.5904,0.6329
1999-00,25,0.6656,0.3516,False,0.6852,0.6448,0.5904,0.6334
1999-00,30,0.6656,0.3496,False,0.6755,0.6351,0.5904,0.6337
2000-01,10,0.4935,0.5388,False,0.4203,0.4661,0.5976,0.4852
2000-01,15,0.4935,0.6769,False,0.5217,0.5227,0.5976,0.5570
2000-01,20,0.4935,0.6884,False,0.4883,0.5383,0.5976,0.4830
2000-01,25,0.4935,0.3312,False,0.4626,0.5377,0.5976,0.4770
2000-01,30,0.4935,0.3253,False,0.4555,0.5123,0.5976,0.4743
2001-02,10,0.3729,0.1611,False,0.4316,0.5207,0.6025,0.4441
2001-02,15,0.3729,0.5790,False,0.3784,0.5300,0.6025,0.4217
2001-02,20,0.3729,0.6409,False,0.4610,0.5540,0.6025,0.3968
2001-02,25,0.3729,0.2919,False,0.4056,0.5436,0.6025,0.3912
2001-02,30,0.3729,0.2578,False,0.4054,0.5342,0.6025,0.3876
2002-03,10,0.3733,0.1592,False,0.3387,0.4385,0.6025,0.4035
2002-03,15,0.3733,0.4794,False,0.3024,0.3760,0.6025,0.3830
2002-03,20,0.3733,0.5884,False,0.4298,0.3902,0.6025,0.3697
2002-03,25,0.3733,0.2739,False,0.4115,0.3480,0.6025,0.3610
2002-03,30,0.3733,0.2397,False,0.4145,0.3148,0.6025,0.3577
2003-04,10,0.8328,0.8328,False,0.7494,0.7841,0.5837,0.8907
2003-04,15,0.8328,0.6128,False,0.8670,0.8731,0.5837,0.8640
2003-04,20,0.8328,0.4874,False,0.8505,0.8218,0.5837,0.8655
2003-04,25,0.8328,0.4763,False,0.7875,0.7281,0.5837,0.8664
2003-04,30,0.8328,0.4745,False,0.7879,0.7012,0.5837,0.8670
2004-05,10,0.5601,0.1746,False,0.4698,0.4772,0.5951,0.4330
2004-05,15,0.5601,0.6755,False,0.5114,0.4300,0.5951,0.4289
2004-05,20,0.5601,0.7192,False,0.5548,0.5675,0.5951,0.5561
2004-05,25,0.5601,0.4108,False,0.4645,0.5386,0.5951,0.5508
2004-05,30,0.5601,0.3430,False,0.4781,0.5378,0.5951,0.5503
2005-06,10,0.3598,0.5800,False,0.3760,0.4977,0.6036,0.4759
2005-06,15,0.3598,0.6587,False,0.4846,0.5247,0.6036,0.4194
2005-06,20,0.3598,0.3215,False,0.5029,0.5387,0.6036,0.3662
2005-06,25,0.3598,0.3082,False,0.4881,0.5052,0.6036,0.3774
2005-06,30,0.3598,0.2829,False,0.4862,0.4799,0.6036,0.3731
2006-07,10,0.3855,0.5647,False,0.5345,0.5975,0.6026,0.4996
2006-07,15,0.3855,0.6390,False,0.4412,0.5661,0.6026,0.4232
2006-07,20,0.3855,0.6320,False,0.4143,0.6270,0.6026,0.4006
2006-07,25,0.3855,0.3135,False,0.3419,0.5087,0.6026,0.3991
2006-07,30,0.3855,0.2944,False,0.3607,0.4840,0.6026,0.3976
2007-08,10,0.6392,0.2041,False,0.5454,0.5122,0.5926,0.4745
2007-08,15,0.6392,0.2846,False,0.4199,0.4347,0.5926,0.4434
2007-08,20,0.6392,0.7129,False,0.5791,0.6333,0.5926,0.6395
2007-08,25,0.6392,0.4998,False,0.5652,0.5711,0.5926,0.6496
2007-08,30,0.6392,0.3725,False,0.5762,0.5844,0.5926,0.6509
2008-09,10,0.4498,0.5491,False,0.5193,0.4367,0.6002,0.4551
2008-09,15,0.4498,0.5775,False,0.3671,0.3815,0.6002,0.4168
2008-09,20,0.4498,0.6128,False,0.3956,0.4447,0.6002,0.3962
2008-09,25,0.4498,0.4808,False,0.4133,0.4015,0.6002,0.3895
